scenario_id,severity,status,is_valid,preservation_rate,word_count,latency_seconds,error_count,warning_count
SCEN-BATCH-0001,Mild,passed,True,1.0,145,84.383,0,0
SCEN-BATCH-0002,Moderate,passed,True,1.0,142,88.511,0,0
SCEN-BATCH-0003,Severe,passed,True,1.0,143,89.726,0,0
SCEN-BATCH-0004,Wildcard,passed,True,1.0,142,89.472,0,0
SCEN-BATCH-0005,Mild,passed,True,1.0,145,88.265,0,0
SCEN-BATCH-0006,Moderate,passed,True,1.0,142,89.553,0,0
SCEN-BATCH-0007,Severe,passed,True,1.0,146,87.848,0,0
SCEN-BATCH-0008,Wildcard,passed,True,1.0,142,93.503,0,0
SCEN-BATCH-0009,Mild,passed,True,1.0,146,96.114,0,0
SCEN-BATCH-0010,Moderate,passed,True,1.0,142,96.755,0,0
SCEN-BATCH-0011,Severe,passed,True,1.0,60,110.682,0,0
SCEN-BATCH-0012,Wildcard,passed,True,1.0,17,84.83,0,0
SCEN-BATCH-0013,Mild,passed,True,1.0,63,79.42,0,0
SCEN-BATCH-0014,Moderate,passed,True,1.0,58,86.019,0,0
SCEN-BATCH-0015,Severe,passed,True,1.0,60,85.412,0,0
SCEN-BATCH-0016,Wildcard,passed,True,1.0,58,86.304,0,0
SCEN-BATCH-0017,Mild,passed,True,1.0,61,85.435,0,0
SCEN-BATCH-0018,Moderate,passed,True,1.0,59,85.187,0,0
SCEN-BATCH-0019,Severe,passed,True,1.0,59,86.049,0,0
SCEN-BATCH-0020,Wildcard,passed,True,1.0,58,82.202,0,0
