Deployment_ID,Version,Commit_SHA,Service_Name,Target_Environment,Deployer,Error_Rate_Delta,Latency_P95_ms,Latency_P99_ms,Unit_Test_Failure_Rate,Integration_Test_Passed,Security_Critical_CVEs,Security_High_CVEs,Anomalous_Egress_MB,Auth_Failure_Spike,Changed_Files_Count,Lines_Delta,Production_Incident,Risk_Score,Decision
DEP-10000,v3.3.0,211edc7,auth-gateway,canary-prod,alex.chen,0.09,62.9,105.69999999999999,0.0,1,0,1,37.2,0.8,4,376,0,16,ALLOW
DEP-10001,v3.13.7,82af742,payment-service,staging-preprod,priya.sharma,0.031,88.7,132.9,0.14,1,0,0,21.2,2.0,10,145,0,13,ALLOW
DEP-10002,v3.14.17,d6c350c,auth-gateway,staging-preprod,priya.sharma,0.013,58.0,95.9,0.19,1,0,0,9.7,0.0,5,242,0,8,ALLOW
DEP-10003,v2.5.11,502cf1f,user-profile,production-eu-central,marcus.vance,6.783,359.5,676.4,11.69,0,2,7,378.0,80.0,71,8404,1,100,BLOCK
DEP-10004,v1.7.26,b462c04,payment-service,production-eu-central,elena.rostova,3.898,573.1,1010.1,4.98,0,2,4,453.8,36.9,47,3520,1,100,BLOCK
DEP-10005,v3.8.23,7651e9c,analytics-pipeline,canary-prod,priya.sharma,0.005,56.0,87.5,0.0,1,0,0,20.2,4.0,7,315,0,5,ALLOW
DEP-10006,v2.14.16,2ad24d3,user-profile,staging-preprod,elena.rostova,0.049,49.1,94.0,0.0,1,0,0,15.2,1.5,9,400,0,5,ALLOW
DEP-10007,v1.9.26,0e5fa49,auth-gateway,canary-prod,marcus.vance,1.12,134.0,281.3,2.83,1,0,1,105.8,16.6,25,1461,1,58,PAUSE
DEP-10008,v2.2.24,ee9f270,notification-worker,staging-preprod,david.kim,0.0,76.1,113.19999999999999,0.0,1,0,0,24.1,0.7,8,274,0,8,ALLOW
DEP-10009,v1.7.2,4a11acb,payment-service,canary-prod,alex.chen,0.883,145.3,279.9,1.57,0,0,3,59.7,12.1,41,738,0,89,BLOCK
DEP-10010,v3.15.7,970dd75,user-profile,production-eu-central,elena.rostova,0.511,214.3,281.0,3.46,0,0,3,94.1,7.6,16,424,0,93,BLOCK
DEP-10011,v1.7.6,08e7f28,payment-service,canary-prod,elena.rostova,0.308,216.0,339.6,2.69,1,1,3,94.0,6.0,44,330,1,97,BLOCK
DEP-10012,v1.5.13,9906bf6,auth-gateway,production-eu-central,marcus.vance,5.009,346.0,891.2,17.09,0,3,5,315.4,29.4,119,7484,1,100,BLOCK
DEP-10013,v3.15.4,030bb4b,auth-gateway,production-eu-central,ci-bot-auto,4.677,465.4,957.2,17.39,0,1,6,593.6,58.1,40,8474,1,100,BLOCK
DEP-10014,v3.2.21,16d1bc7,search-indexer,production-us-east,marcus.vance,0.079,55.3,94.6,0.0,1,0,0,37.3,1.1,7,77,0,8,ALLOW
DEP-10015,v2.14.10,ca8dc02,payment-service,production-us-east,alex.chen,1.084,165.6,227.89999999999998,0.82,1,1,3,42.2,13.3,29,1552,1,94,BLOCK
DEP-10016,v3.0.21,3de2dde,order-processing,production-us-east,ci-bot-auto,0.175,66.4,77.5,0.0,1,0,0,23.2,1.7,14,145,0,11,ALLOW
DEP-10017,v2.1.2,72ba4e2,payment-service,production-eu-central,ci-bot-auto,0.916,208.2,288.79999999999995,0.73,1,1,3,60.3,7.1,19,1417,0,88,BLOCK
DEP-10018,v3.4.13,eb35b50,search-indexer,staging-preprod,david.kim,0.123,69.9,98.5,0.0,1,0,0,29.1,1.3,7,327,0,11,ALLOW
DEP-10019,v1.5.25,f7af471,order-processing,staging-preprod,priya.sharma,1.511,226.5,315.1,0.83,1,1,2,56.0,10.6,24,708,1,93,BLOCK
DEP-10020,v2.7.7,a0642c2,order-processing,production-eu-central,david.kim,8.226,770.6,973.4000000000001,14.73,0,1,2,358.7,40.5,63,2962,1,100,BLOCK
DEP-10021,v2.1.3,7547d60,order-processing,canary-prod,david.kim,0.127,59.9,85.3,0.0,1,0,0,23.7,1.8,11,378,0,12,ALLOW
DEP-10022,v3.6.11,7c44d33,search-indexer,production-eu-central,marcus.vance,0.201,67.6,105.69999999999999,0.0,1,0,0,24.4,0.0,7,350,0,12,ALLOW
DEP-10023,v3.5.19,36a3307,analytics-pipeline,production-us-east,elena.rostova,0.048,65.9,130.5,0.0,1,0,0,23.5,1.7,13,417,0,10,ALLOW
DEP-10024,v3.2.9,4c1310e,auth-gateway,canary-prod,sarah.jenkins,3.514,559.0,1153.3,9.08,0,1,5,486.1,78.3,83,6659,1,100,BLOCK
DEP-10025,v3.12.15,61ead71,payment-service,production-eu-central,alex.chen,0.113,51.4,103.19999999999999,0.0,1,0,0,13.8,2.1,3,420,0,7,ALLOW
DEP-10026,v3.10.30,878f982,analytics-pipeline,staging-preprod,priya.sharma,0.225,50.1,78.3,0.0,1,0,0,25.8,0.4,11,132,0,8,ALLOW
DEP-10027,v1.9.7,244cee1,user-profile,staging-preprod,david.kim,0.0,66.0,88.3,0.0,1,0,0,28.8,0.0,8,222,0,4,ALLOW
DEP-10028,v2.12.28,a69a536,analytics-pipeline,production-eu-central,ci-bot-auto,1.705,127.9,218.60000000000002,0.84,1,0,1,104.7,16.4,41,749,0,60,PAUSE
DEP-10029,v2.10.21,6f8ea6a,auth-gateway,production-eu-central,sarah.jenkins,0.687,195.8,329.3,2.17,0,0,2,77.1,8.1,23,1231,0,82,BLOCK
DEP-10030,v2.8.24,72c9ab5,payment-service,canary-prod,priya.sharma,3.152,791.4,1351.6,17.3,1,1,3,319.5,49.4,55,8374,1,100,BLOCK
DEP-10031,v1.7.4,9d0825f,notification-worker,canary-prod,priya.sharma,1.389,226.6,366.4,2.84,1,1,1,84.9,6.1,29,1479,0,96,BLOCK
DEP-10032,v2.6.2,1d3db57,search-indexer,production-us-east,alex.chen,0.174,69.4,95.80000000000001,0.0,1,0,0,39.9,1.9,14,260,0,9,ALLOW
DEP-10033,v2.14.22,e7f2987,analytics-pipeline,production-us-east,marcus.vance,1.278,139.2,263.29999999999995,1.21,1,1,2,62.8,14.7,25,1251,0,88,BLOCK
