Image_ID,Original_Path,Pixel_Image_Path,Original_Format,Output_Format,Width,Height,Color_Mode,Channels,Pixel_Array_Shape,Pixel_Min,Pixel_Max,Pixel_Mean,Pixel_Std,Original_File_Size,Output_File_Size,Conversion_Status
CT00001,data/raw/ct_images/normal/CT00001.png,data/pixel_images/ct/normal/CT00001.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,236.0,55.38,39.86,1986,1986,SUCCESS
CT00002,data/raw/ct_images/normal/CT00002.png,data/pixel_images/ct/normal/CT00002.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,236.0,53.61,40.72,2056,2056,SUCCESS
CT00003,data/raw/ct_images/normal/CT00003.png,data/pixel_images/ct/normal/CT00003.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,231.0,53.78,38.56,1990,1990,SUCCESS
CT00004,data/raw/ct_images/normal/CT00004.png,data/pixel_images/ct/normal/CT00004.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,229.0,54.79,41.35,1999,1999,SUCCESS
CT00005,data/raw/ct_images/normal/CT00005.png,data/pixel_images/ct/normal/CT00005.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,228.0,54.11,39.32,2039,2039,SUCCESS
CT00006,data/raw/ct_images/normal/CT00006.png,data/pixel_images/ct/normal/CT00006.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,221.0,53.35,38.02,1978,1978,SUCCESS
CT00007,data/raw/ct_images/normal/CT00007.png,data/pixel_images/ct/normal/CT00007.png,PNG,PNG,256,256,L,1,"(256, 256)",14.0,233.0,55.89,42.3,2016,2016,SUCCESS
CT00008,data/raw/ct_images/normal/CT00008.png,data/pixel_images/ct/normal/CT00008.png,PNG,PNG,256,256,L,1,"(256, 256)",15.0,237.0,53.09,39.64,2051,2051,SUCCESS
CT00009,data/raw/ct_images/normal/CT00009.png,data/pixel_images/ct/normal/CT00009.png,PNG,PNG,256,256,L,1,"(256, 256)",18.0,238.0,56.8,40.02,2036,2036,SUCCESS
CT00010,data/raw/ct_images/normal/CT00010.png,data/pixel_images/ct/normal/CT00010.png,PNG,PNG,256,256,L,1,"(256, 256)",16.0,222.0,53.5,38.1,1996,1996,SUCCESS
