Original_Dataset,Original_Column,Standardized_Column,Reason
data/pixel_images/pixel_image_metadata.csv,Image_ID,Image_ID,Exact Schema Match
data/pixel_images/pixel_image_metadata.csv,Original_Path,Original_Path,Exact Schema Match
data/pixel_images/pixel_image_metadata.csv,Pixel_Image_Path,Pixel_Image_Path,Exact Schema Match
data/pixel_images/pixel_image_metadata.csv,Original_Format,Original_Format,Exact Schema Match
data/pixel_images/pixel_image_metadata.csv,Output_Format,Output_Format,Exact Schema Match
data/pixel_images/pixel_image_metadata.csv,Width,Width,Exact Schema Match
data/pixel_images/pixel_image_metadata.csv,Height,Height,Exact Schema Match
data/pixel_images/pixel_image_metadata.csv,Color_Mode,Color_Mode,Exact Schema Match
data/pixel_images/pixel_image_metadata.csv,Channels,Channels,Exact Schema Match
data/pixel_images/pixel_image_metadata.csv,Pixel_Array_Shape,Pixel_Array_Shape,Exact Schema Match
data/pixel_images/pixel_image_metadata.csv,Pixel_Min,Pixel_Min,Exact Schema Match
data/pixel_images/pixel_image_metadata.csv,Pixel_Max,Pixel_Max,Exact Schema Match
data/pixel_images/pixel_image_metadata.csv,Pixel_Mean,Pixel_Mean,Exact Schema Match
data/pixel_images/pixel_image_metadata.csv,Pixel_Std,Pixel_Std,Exact Schema Match
data/pixel_images/pixel_image_metadata.csv,Original_File_Size,Original_File_Size,Exact Schema Match
data/pixel_images/pixel_image_metadata.csv,Output_File_Size,Output_File_Size,Exact Schema Match
data/pixel_images/pixel_image_metadata.csv,Conversion_Status,Conversion_Status,Exact Schema Match
data/processed/dl_cleaned.csv,Patient_ID,Patient_ID,Exact Schema Match
data/processed/dl_cleaned.csv,Encounter_ID,Encounter_ID,Exact Schema Match
data/processed/dl_cleaned.csv,Encounter_Date,Encounter_Date,Exact Schema Match
data/processed/dl_cleaned.csv,Cancer_Type,Cancer_Type,Exact Schema Match
data/processed/dl_cleaned.csv,Cancer_Stage,Cancer_Stage,Exact Schema Match
data/processed/dl_cleaned.csv,Age,Age,Exact Schema Match
data/processed/dl_cleaned.csv,Sex,Sex,Exact Schema Match
data/processed/dl_cleaned.csv,Organ_Site,Organ_Site,Exact Schema Match
data/processed/dl_cleaned.csv,Histopathology_Image_ID,Histopathology_Image_ID,Exact Schema Match
data/processed/dl_cleaned.csv,Histopathology_Image_Path,Histopathology_Image_Path,Exact Schema Match
data/processed/dl_cleaned.csv,Tissue_Type,Tissue_Type,Exact Schema Match
data/processed/dl_cleaned.csv,Histopathology_Label,Histopathology_Label,Exact Schema Match
data/processed/dl_cleaned.csv,Tumor_Grade,Tumor_Grade,Exact Schema Match
data/processed/dl_cleaned.csv,Tumor_Margin_Status,Tumor_Margin_Status,Exact Schema Match
data/processed/dl_cleaned.csv,CT_Scan_ID,CT_Scan_ID,Exact Schema Match
