Column_Name,Dataset_1,Dataset_2,Conflict_Count,Resolution
Patient_ID,data/processed/dl_cleaned.csv,data/processed/image_metadata.csv,0,Standardized canonical column unification across key-matched rows
Encounter_ID,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
Encounter_Date,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
Cancer_Type,data/processed/dl_cleaned.csv,data/processed/image_metadata.csv,0,Standardized canonical column unification across key-matched rows
Cancer_Stage,data/processed/dl_cleaned.csv,data/processed/image_metadata.csv,0,Standardized canonical column unification across key-matched rows
Age,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
Sex,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
Organ_Site,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
Histopathology_Image_ID,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
Histopathology_Image_Path,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
Tissue_Type,data/processed/dl_cleaned.csv,data/processed/image_metadata.csv,0,Standardized canonical column unification across key-matched rows
Histopathology_Label,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
Tumor_Grade,data/processed/dl_cleaned.csv,data/processed/image_metadata.csv,0,Standardized canonical column unification across key-matched rows
Tumor_Margin_Status,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
CT_Scan_ID,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
CT_Scan_Path,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
CT_Slice_Count,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
MRI_Scan_ID,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
MRI_Scan_Path,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
MRI_Sequence_Type,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
Tumor_Volume_cm3,data/processed/dl_cleaned.csv,data/processed/temporal_biomarker_sequences.csv,0,Standardized canonical column unification across key-matched rows
Biomarker_Timepoint_Days,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
ctDNA_Level,data/processed/dl_cleaned.csv,data/processed/temporal_biomarker_sequences.csv,0,Standardized canonical column unification across key-matched rows
Protein_Marker,data/processed/dl_cleaned.csv,data/processed/temporal_biomarker_sequences.csv,0,Standardized canonical column unification across key-matched rows
Protein_Marker_Level,data/processed/dl_cleaned.csv,data/processed/temporal_biomarker_sequences.csv,0,Standardized canonical column unification across key-matched rows
Tumor_Growth_Rate,data/processed/dl_cleaned.csv,data/processed/temporal_biomarker_sequences.csv,0,Standardized canonical column unification across key-matched rows
Treatment_Drug,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
Treatment_Response,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
Progression_Status,data/processed/dl_cleaned.csv,data/processed/temporal_biomarker_sequences.csv,0,Standardized canonical column unification across key-matched rows
Progression_Risk,data/processed/dl_cleaned.csv,data/processed/temporal_biomarker_sequences.csv,0,Standardized canonical column unification across key-matched rows
Image_Quality,data/processed/dl_cleaned.csv,data/processed/image_metadata.csv,0,Standardized canonical column unification across key-matched rows
Annotation_Status,data/processed/dl_cleaned.csv,data/processed/image_metadata.csv,0,Standardized canonical column unification across key-matched rows
Clinical_Notes,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
Image_Source,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
Image_Label_Confidence,data/processed/dl_cleaned.csv,data/raw/dl_raw_1000.csv,0,Standardized canonical column unification across key-matched rows
Image_Type,data/processed/image_metadata.csv,data/processed/image_metadata_clean.csv,0,Standardized canonical column unification across key-matched rows
Image_Path,data/processed/image_metadata.csv,data/processed/image_metadata_clean.csv,0,Standardized canonical column unification across key-matched rows
Label,data/processed/image_metadata.csv,data/processed/image_metadata_clean.csv,0,Standardized canonical column unification across key-matched rows
