Column,Original_Missing_Count,Missing_Percentage,Action_Taken,Final_Missing_Count
Patient_ID,0,0.0,FLAGGED_RECORD_FOR_REMOVAL,0
Encounter_ID,0,0.0,NO_ACTION_REQUIRED,0
Encounter_Date,0,0.0,NO_ACTION_REQUIRED,0
Cancer_Type,0,0.0,NO_ACTION_REQUIRED,0
Cancer_Stage,0,0.0,NO_ACTION_REQUIRED,0
Age,0,0.0,MEDIAN_IMPUTATION (55.00),0
Sex,0,0.0,NO_ACTION_REQUIRED,0
Organ_Site,0,0.0,NO_ACTION_REQUIRED,0
Histopathology_Image_ID,641,64.1,FLAGGED_RECORD_FOR_REMOVAL,641
Histopathology_Image_Path,641,64.1,FLAGGED_RECORD_FOR_REMOVAL,641
Tissue_Type,0,0.0,NO_ACTION_REQUIRED,0
Histopathology_Label,671,67.1,FLAGGED_RECORD_FOR_REMOVAL,0
Tumor_Grade,0,0.0,NO_ACTION_REQUIRED,0
Tumor_Margin_Status,242,24.2,NO_ACTION_REQUIRED,0
CT_Scan_ID,799,79.9,NO_ACTION_REQUIRED,799
CT_Scan_Path,798,79.8,NO_ACTION_REQUIRED,798
CT_Slice_Count,799,79.9,NO_ACTION_REQUIRED,799
MRI_Scan_ID,796,79.6,NO_ACTION_REQUIRED,796
MRI_Scan_Path,795,79.5,NO_ACTION_REQUIRED,795
MRI_Sequence_Type,796,79.6,NO_ACTION_REQUIRED,796
Tumor_Volume_cm3,0,0.0,MEDIAN_IMPUTATION (23.27),0
Biomarker_Timepoint_Days,0,0.0,NO_ACTION_REQUIRED,0
ctDNA_Level,64,6.4,MEDIAN_IMPUTATION (58.84),0
Protein_Marker,0,0.0,NO_ACTION_REQUIRED,0
Protein_Marker_Level,50,5.0,MEDIAN_IMPUTATION (114.12),0
Tumor_Growth_Rate,0,0.0,NO_ACTION_REQUIRED,0
Treatment_Drug,0,0.0,NO_ACTION_REQUIRED,0
Treatment_Response,0,0.0,NO_ACTION_REQUIRED,0
Progression_Status,63,6.3,NO_ACTION_REQUIRED,0
Progression_Risk,0,0.0,NO_ACTION_REQUIRED,0
Image_Quality,0,0.0,NO_ACTION_REQUIRED,0
Annotation_Status,0,0.0,NO_ACTION_REQUIRED,0
Clinical_Notes,0,0.0,NO_ACTION_REQUIRED,0
Image_Source,0,0.0,NO_ACTION_REQUIRED,0
Image_Label_Confidence,0,0.0,NO_ACTION_REQUIRED,0
