Image_1,Image_2,Modality,Folder_1,Folder_2,pHash_Distance,dHash_Distance,Similarity_Classification,Recommended_Action
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00004.png,ct,normal,normal,4,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00005.png,ct,normal,normal,2,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00006.png,ct,normal,normal,2,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00011.png,ct,normal,normal,0,2,Exact Duplicate,Keep Representative / Purge Duplicate
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00012.png,ct,normal,normal,0,5,Exact Duplicate,Keep Representative / Purge Duplicate
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00014.png,ct,normal,normal,0,2,Exact Duplicate,Keep Representative / Purge Duplicate
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00015.png,ct,normal,normal,2,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00018.png,ct,normal,normal,4,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00019.png,ct,normal,normal,4,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00020.png,ct,normal,normal,4,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00021.png,ct,normal,normal,2,6,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00023.png,ct,normal,normal,0,3,Exact Duplicate,Keep Representative / Purge Duplicate
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00024.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00025.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00031.png,ct,normal,normal,2,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00033.png,ct,normal,normal,5,5,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00035.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00036.png,ct,normal,normal,5,7,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00037.png,ct,normal,normal,2,1,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00038.png,ct,normal,normal,2,2,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00040.png,ct,normal,normal,5,6,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00042.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00044.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00047.png,ct,normal,normal,2,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00049.png,ct,normal,normal,5,6,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00056.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00058.png,ct,normal,normal,2,6,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00059.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00060.png,ct,normal,normal,1,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00064.png,ct,normal,normal,5,6,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/normal/CT00065.png,ct,normal,normal,4,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/tumor/CT00074.png,ct,normal,tumor,7,5,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/tumor/CT00095.png,ct,normal,tumor,9,5,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00001.png,data/raw/ct_images/tumor/CT00132.png,ct,normal,tumor,9,6,Visually Similar,Retain - Shows Structural Variation
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00003.png,ct,normal,normal,3,7,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00007.png,ct,normal,normal,3,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00008.png,ct,normal,normal,4,5,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00009.png,ct,normal,normal,2,4,Near Duplicate,Document & Evaluate Similarity Threshold
data/raw/ct_images/normal/CT00002.png,data/raw/ct_images/normal/CT00010.png,ct,normal,normal,2,3,Near Duplicate,Document & Evaluate Similarity Threshold
