step,train_loss,val_loss,lr,elapsed_seconds
0,,2.0989,0.0002,0.0
1,2.0639,,4.55e-06,67.9
2,2.262,,9.09e-06,78.1
3,1.9357,,1.36e-05,88.7
4,1.563,,1.82e-05,99.3
5,1.6761,,2.27e-05,110.4
6,1.939,,2.73e-05,121.4
7,2.1838,,3.18e-05,132.4
8,1.5402,,3.64e-05,144.5
9,1.6354,,4.09e-05,156.8
10,1.1861,,4.55e-05,169.0
11,1.2955,,5e-05,181.5
12,0.9375,,5.45e-05,192.7
13,1.1853,,5.91e-05,204.5
14,0.8665,,6.36e-05,216.7
15,0.6485,,6.82e-05,227.9
16,0.8121,,7.27e-05,239.4
17,0.7082,,7.73e-05,251.4
18,0.557,,8.18e-05,262.4
19,0.5392,,8.64e-05,274.2
20,0.5661,,9.09e-05,285.8
21,0.4188,,9.55e-05,298.0
22,0.3744,,0.0001,310.0
23,0.3634,,0.000105,322.6
24,0.2075,,0.000109,334.9
25,0.2294,0.2062,0.000114,346.3
26,0.1404,,0.000118,424.5
27,0.2081,,0.000123,437.2
28,0.2063,,0.000127,448.9
29,0.19,,0.000132,461.5
30,0.1953,,0.000136,473.1
31,0.157,,0.000141,485.5
