feature_name,category_value,record_count,input_word_mean,input_word_median,input_word_std,target_word_mean,target_word_median,target_word_std,expansion_ratio_mean
drug_name,Alectinib,281,17.78,18.0,1.41,26.41,27.0,3.14,1.62
drug_name,Carboplatin,325,17.91,18.0,1.35,26.32,27.0,3.21,1.59
drug_name,Cisplatin,365,17.69,18.0,1.38,25.9,26.0,3.3,1.6
drug_name,Crizotinib,313,17.81,18.0,1.44,26.26,27.0,3.26,1.6
drug_name,Dabrafenib,328,17.83,18.0,1.42,26.42,27.0,3.21,1.61
drug_name,Erlotinib,329,17.79,18.0,1.48,26.22,27.0,3.26,1.6
drug_name,Gefitinib,373,17.7,18.0,1.45,25.95,26.0,3.22,1.59
drug_name,Osimertinib,647,17.83,18.0,1.35,26.19,27.0,3.37,1.58
drug_name,Pembrolizumab,310,17.69,18.0,1.27,26.37,27.0,3.3,1.6
drug_name,Sotorasib,330,17.76,18.0,1.38,26.13,26.0,3.08,1.61
drug_name,Trametinib,313,17.75,18.0,1.29,25.86,26.0,3.37,1.59
drug_name,Unknown,835,16.31,15.0,2.35,20.2,17.0,6.25,1.29
gene_mutation,ALK fusion,388,17.41,18.0,1.68,24.93,26.0,4.27,1.53
gene_mutation,BRAF V600E,362,17.5,18.0,1.65,26.04,27.0,4.26,1.61
gene_mutation,EGFR L858R,713,17.48,18.0,1.5,26.56,28.0,3.84,1.66
gene_mutation,EGFR exon 19 del,350,19.31,19.0,1.59,27.89,29.0,4.32,1.6
gene_mutation,KRAS G12C,736,17.5,18.0,1.58,26.06,27.0,4.02,1.62
gene_mutation,MET amplification,396,17.44,18.0,1.56,25.06,26.0,4.15,1.5
gene_mutation,ROS1 fusion,349,17.4,18.0,1.65,24.98,26.0,4.31,1.53
gene_mutation,STK11 mutation,332,17.42,18.0,1.68,24.92,26.0,4.46,1.5
gene_mutation,TP53 mutation,364,17.39,18.0,1.6,25.12,27.0,4.2,1.52
gene_mutation,Unknown,759,17.03,17.0,1.65,21.46,23.0,4.41,1.37
adverse_event,Diarrhea,325,17.74,18.0,1.32,26.52,28.0,3.1,1.6
adverse_event,Dyspnea,324,17.61,18.0,1.38,26.73,28.0,3.0,1.64
adverse_event,Fatigue,362,17.74,18.0,1.35,26.53,28.0,3.4,1.61
adverse_event,Fever,343,17.66,18.0,1.36,26.86,28.0,3.06,1.65
adverse_event,Hepatotoxicity,322,17.67,18.0,1.47,26.61,28.0,3.18,1.58
adverse_event,Mucositis,321,17.69,18.0,1.32,26.77,28.0,2.96,1.63
adverse_event,Nausea,337,17.67,18.0,1.46,26.77,28.0,2.98,1.64
adverse_event,Neutropenia,286,17.74,18.0,1.32,26.65,28.0,3.03,1.6
adverse_event,None Reported,1469,17.17,17.0,2.2,21.74,23.0,5.35,1.37
adverse_event,Rash,343,17.62,18.0,1.43,26.26,27.0,3.51,1.65
adverse_event,Thrombocytopenia,317,17.64,18.0,1.33,26.71,28.0,3.12,1.59
urgency,High,1372,17.51,18.0,1.64,25.33,26.0,4.36,1.56
urgency,Low,1328,17.5,18.0,1.71,25.03,26.0,4.55,1.54
urgency,Moderate,1319,17.55,18.0,1.66,25.13,26.0,4.54,1.54
urgency,Unknown,730,17.53,18.0,1.81,24.91,26.0,4.96,1.53
dosage_level,150 mg/day,673,17.51,17.0,1.42,27.63,28.0,2.68,1.64
dosage_level,2 mg/kg,362,18.07,18.0,1.35,27.73,28.0,2.56,1.68
dosage_level,200 mg/day,356,17.98,18.0,1.31,27.62,28.0,2.63,1.66
dosage_level,250 mg/day,363,18.05,18.0,1.32,23.55,24.0,2.63,1.53
dosage_level,300 mg BID,327,18.1,18.0,1.31,27.54,28.0,2.61,1.54
dosage_level,5 mg BID,403,18.24,18.0,1.3,27.51,28.0,2.71,1.65
dosage_level,600 mg BID,310,18.15,18.0,1.4,27.4,28.0,2.87,1.63
dosage_level,80 mg/day,734,17.52,17.5,1.41,25.32,25.0,3.25,1.56
dosage_level,Unknown,1221,16.53,17.0,2.05,20.58,22.0,4.98,1.35
symptom_text,Chest Discomfort,355,17.28,17.0,1.62,24.86,26.0,4.38,1.53
symptom_text,Fatigue + Cough,348,17.25,17.0,1.58,25.36,26.0,4.09,1.6
symptom_text,Fever And Chills,316,18.28,18.0,1.63,26.12,27.0,4.36,1.55
symptom_text,Loss Of Appetite,344,18.17,18.0,1.59,25.62,26.0,4.43,1.53
symptom_text,Mild Fatigue,376,17.39,18.0,1.54,25.24,25.0,3.92,1.58
symptom_text,Nausea After Treatment,330,18.12,18.0,1.54,25.99,27.0,4.44,1.51
symptom_text,No New Symptoms,338,18.21,18.0,1.46,26.2,27.0,4.08,1.56
symptom_text,Not Specified,316,17.15,17.0,1.58,19.66,20.0,4.46,1.16
symptom_text,Persistent Cough,342,17.3,17.0,1.67,24.73,25.0,4.4,1.54
symptom_text,Rash Worsening,323,17.19,17.0,1.71,24.89,26.0,4.47,1.55
symptom_text,Severe Diarrhea,341,17.3,17.0,1.55,25.42,27.0,4.17,1.56
symptom_text,Shortness Of Breath,679,17.28,17.0,1.89,26.08,27.0,4.25,1.65
symptom_text,Skin Rash,341,17.16,17.0,1.64,25.21,26.0,4.47,1.59
